"status","key","sheetRowId","dbRowId","country","routeFrom","routeTo","vehicleType","pax","sheetPrice","dbPrice","sheetCurrency","dbCurrency","decision","comment"
"price_set_mismatch","united states of america	los angeles airport lax	anaheim	standard class car","3805","cmm3d3o9q02z3k8pptob4r30c","United States of America","Los Angeles Airport (LAX)","Anaheim","Standard class car","3","55.00 EUR","83.00 EUR","EUR","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"price_set_mismatch","united states of america	los angeles airport lax	anaheim	standard e vehicle 3 pax","3806","cmm3d3o9q02z4k8ppy44n7246","United States of America","Los Angeles Airport (LAX)","Anaheim","Standard e-vehicle 3 pax","3","89.00 EUR","178.00 EUR","EUR","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"price_set_mismatch","united states of america	los angeles airport lax	anaheim	standard mpv","3807","cmm3d3o9q02z5k8pp3qy5pke8","United States of America","Los Angeles Airport (LAX)","Anaheim","Standard MPV","5","58.00 EUR","89.00 EUR","EUR","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"price_set_mismatch","united states of america	los angeles airport lax	beverly hills	standard class car","3812","cmm3d3o9q02zak8ppmymw2gzi","United States of America","Los Angeles Airport (LAX)","Beverly Hills","Standard class car","3","42.00 EUR","65.00 EUR","EUR","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"price_set_mismatch","united states of america	los angeles airport lax	beverly hills	standard e vehicle 3 pax","3813","cmm3d3o9q02zbk8pphexpqfxs","United States of America","Los Angeles Airport (LAX)","Beverly Hills","Standard e-vehicle 3 pax","3","75.00 EUR","133.00 EUR","EUR","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"price_set_mismatch","united states of america	los angeles airport lax	beverly hills	standard mpv","3814","cmm3d3o9q02zck8pp9bhcqnsz","United States of America","Los Angeles Airport (LAX)","Beverly Hills","Standard MPV","5","44.00 EUR","67.00 EUR","EUR","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"price_set_mismatch","united states of america	los angeles airport lax	hollywood california	standard class car","3840","cmm3d3o9q0302k8ppi6zfyizb","United States of America","Los Angeles Airport (LAX)","Hollywood, California","Standard class car","3","42.00 EUR","65.00 EUR","EUR","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"price_set_mismatch","united states of america	los angeles airport lax	hollywood california	standard e vehicle 3 pax","3841","cmm3d3o9q0303k8ppu4pzho17","United States of America","Los Angeles Airport (LAX)","Hollywood, California","Standard e-vehicle 3 pax","3","75.00 EUR","133.00 EUR","EUR","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"price_set_mismatch","united states of america	los angeles airport lax	hollywood california	standard mpv","3842","cmm3d3o9q0304k8ppyicms9kc","United States of America","Los Angeles Airport (LAX)","Hollywood, California","Standard MPV","5","44.00 EUR","67.00 EUR","EUR","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"price_set_mismatch","united states of america	los angeles airport lax	las vegas	standard class car","3875","cmm3d3o9r0311k8pp214r23r1","United States of America","Los Angeles Airport (LAX)","Las Vegas","Standard class car","3","554.00 EUR","609.00 EUR","EUR","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"price_set_mismatch","united states of america	los angeles airport lax	las vegas	standard e vehicle 3 pax","3876","cmm3d3o9r0312k8pp4myp9574","United States of America","Los Angeles Airport (LAX)","Las Vegas","Standard e-vehicle 3 pax","3","637.00 EUR","941.00 EUR","EUR","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"price_set_mismatch","united states of america	los angeles airport lax	las vegas	standard mpv","3877|3878","cmm3d3o9r0313k8pp83lo281n","United States of America","Los Angeles Airport (LAX)","Las Vegas","Standard MPV","5","661.00 EUR|661.00 EUR","720.00 EUR","EUR|EUR","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"price_set_mismatch","united states of america	los angeles airport lax	long beach california	standard class car","3883","cmm3d3o9r0319k8ppfr7b6n2i","United States of America","Los Angeles Airport (LAX)","Long Beach, California","Standard class car","3","42.00 EUR","72.00 EUR","EUR","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"price_set_mismatch","united states of america	los angeles airport lax	long beach california	standard e vehicle 3 pax","3884","cmm3d3o9r031ak8ppce9vdufi","United States of America","Los Angeles Airport (LAX)","Long Beach, California","Standard e-vehicle 3 pax","3","75.00 EUR","155.00 EUR","EUR","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
"price_set_mismatch","united states of america	los angeles airport lax	long beach california	standard mpv","3885","cmm3d3o9r031bk8ppfcbiqlt1","United States of America","Los Angeles Airport (LAX)","Long Beach, California","Standard MPV","5","44.00 EUR","78.00 EUR","EUR","EUR","db_is_correct","User confirmed LA DB prices based on Beslan latest price list plus 30% commission are correct."
